City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Trinidad,BO,80.58,broken clouds,-14.8333,-64.9,Hotel Piesta
558,Candating,PH,78.13,broken clouds,15.1481,120.822,Jansen angeles
559,Rawson,AR,75.85,clear sky,-43.3002,-65.1023,Hosteria Sampedro
561,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
563,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
565,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
578,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
585,Kalianget,ID,78.01,broken clouds,-7.05,113.9333,Pesanggrahan Garam
588,Piracuruca,BR,87.08,overcast clouds,-3.9281,-41.7092,Pousada Piracuruca
592,El Corpus,HN,77.68,overcast clouds,14.7,-88.9167,Balneario Bahía Verde
594,Rio Branco,BR,88.41,scattered clouds,-9.9747,-67.81,Inácio Palace Hotel
595,Monkey Bay,MW,76.6,light rain,-14.0728,34.9201,Monkey Bay Beach Lodge
598,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
600,San Luis,AR,78.71,clear sky,-33.295,-66.3356,Huarpes Hotel
605,Kupang,ID,78.84,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
606,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
607,Anori,BR,81.3,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
608,Impfondo,CG,78.26,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
609,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
611,Batticaloa,LK,76.86,overcast clouds,7.7102,81.6924,Grand Star Guest House
612,Gondanglegi,ID,75.04,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
616,Omboue,GA,78.31,light rain,-1.5746,9.2618,Hotel Olako
618,Port Keats,AU,78.17,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
620,Jacareacanga,BR,83.68,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
624,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
628,Cimitarra,CO,88.39,scattered clouds,6.3142,-73.9497,HOTEL CARARE PLAZA
631,Concepcion,CL,75.27,clear sky,-36.827,-73.0498,Hotel El Araucano
635,Manaus,BR,79.29,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
636,Bertoua,CM,75.69,broken clouds,4.5833,13.6833,Hotel De Paris
637,Cabangahan,PH,78.39,overcast clouds,9.0781,122.9469,Centralle District Beach Resort
641,Pirassununga,BR,83.21,broken clouds,-21.9961,-47.4258,Hotel Premium Pirassununga
645,Sisophon,KH,79.23,broken clouds,13.5859,102.9737,Pyramid Hotel
649,El Alto,PE,82.06,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
650,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
651,Vallenar,CL,87.82,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
652,Jalingo,NG,80.2,clear sky,8.8833,11.3667,Debright Motel
653,La Asuncion,VE,85.73,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
658,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
659,Trairi,BR,83.91,broken clouds,-3.2778,-39.2689,janelas do mar
660,Corrente,BR,83.88,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
664,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
